"retornos","Date","wday","wdayname","month_day","week","wk_total"
0.00160586128568285,2021-04-27,3,"ter",27,"17",70
-0.0282856929103116,2021-04-28,4,"qua",28,"17",70
-0.00805312309909745,2021-04-29,5,"qui",29,"17",70
-0.0013068868818441,2021-04-30,6,"sex",30,"17",70
-0.00126890319962847,2021-05-03,2,"seg",3,"18",71
-0.0161598030010331,2021-05-04,3,"ter",4,"18",71
-0.0053270593538457,2021-05-05,4,"qua",5,"18",71
0.0132267415376039,2021-05-06,5,"qui",6,"18",71
0.010931850573529,2021-05-07,6,"sex",7,"18",71
-0.0209142591048094,2021-05-10,2,"seg",10,"19",72
-0.00384334099402617,2021-05-11,3,"ter",11,"19",72
-0.0293627751185928,2021-05-12,4,"qua",12,"19",72
0.0168619205020921,2021-05-13,5,"qui",13,"19",72
0.0210673374524435,2021-05-14,6,"sex",14,"19",72
-0.0119685717179586,2021-05-17,2,"seg",17,"20",73
-0.00856509935539473,2021-05-18,3,"ter",18,"20",73
0.000164526080594474,2021-05-19,4,"qua",19,"20",73
0.0138203400341466,2021-05-20,5,"qui",20,"20",73
-0.00531482481848145,2021-05-21,6,"sex",21,"20",73
0.0228820860862429,2021-05-24,2,"seg",24,"21",74
0.00374831327756731,2021-05-25,3,"ter",25,"21",74
-0.000913697755785425,2021-05-26,4,"qua",26,"21",74
-0.00866836437495788,2021-05-27,5,"qui",27,"21",74
0.00148407606180312,2021-05-28,6,"sex",28,"21",74
-0.00913168481224691,2021-06-01,3,"ter",1,"22",75
-0.000404167350141482,2021-06-02,4,"qua",2,"22",75
-0.00642942167695815,2021-06-03,5,"qui",3,"22",75
0.020674721644528,2021-06-04,6,"sex",4,"22",75
0.0120419677191825,2021-06-07,2,"seg",7,"23",76
-0.00488550888369654,2021-06-08,3,"ter",8,"23",76
0.00403844071635961,2021-06-09,4,"qua",9,"23",76
0.0143932886059115,2021-06-10,5,"qui",10,"23",76
0.00252692048386427,2021-06-11,6,"sex",11,"23",76
0.00775524403300376,2021-06-14,2,"seg",14,"24",77
-0.00588722117700446,2021-06-15,3,"ter",15,"24",77
-0.00379307964428011,2021-06-16,4,"qua",16,"24",77
0.0136762333189013,2021-06-17,5,"qui",17,"24",77
-0.00563434662248385,2021-06-18,6,"sex",18,"24",77
0.012334780427643,2021-06-21,2,"seg",21,"25",78
0.0109660166209875,2021-06-22,3,"ter",22,"25",78
-0.000903999815298873,2021-06-23,4,"qua",23,"25",78
0.00535308575746951,2021-06-24,5,"qui",24,"25",78
-0.0062620007779669,2021-06-25,6,"sex",25,"25",78
0.0139612563337628,2021-06-28,2,"seg",28,"26",79
0.00997318022486904,2021-06-29,3,"ter",29,"26",79
-0.00184229923011714,2021-06-30,4,"qua",30,"26",79
0.00258402368218591,2021-07-01,5,"qui",1,"26",79
0.0222753603326502,2021-07-02,6,"sex",2,"26",79
3.60525849678606e-05,2021-07-06,3,"ter",6,"27",80
0.00817542666317905,2021-07-07,4,"qua",7,"27",80
-0.00896645612390679,2021-07-08,5,"qui",8,"27",80
0.00187437450664385,2021-07-09,6,"sex",9,"27",80
-0.00223067926724707,2021-07-12,2,"seg",12,"28",81
0.0131977639824594,2021-07-13,3,"ter",13,"28",81
0.00544522364617617,2021-07-14,4,"qua",14,"28",81
-0.00523879136176464,2021-07-15,5,"qui",15,"28",81
-0.000996331356069802,2021-07-16,6,"sex",16,"28",81
-0.0133214247551201,2021-07-19,2,"seg",19,"29",82
0.0083390380008288,2021-07-20,3,"ter",20,"29",82
